Name	Length	Orientation	L_END	R_END	Cs	
thrL_thrA	81	Codirectional+	256	336	0.01	
thrA_thrB	1	Codirectional+	2800	2800	0.06	
thrB_thrC	0	Codirectional+	NULL	NULL	0.08	
thrC_yaaX	213	Codirectional+	5021	5233	0.11	
yaaX_yaaA	152	Convergent	5531	5682	0.12	
yaaA_yaaJ	69	Codirectional-	6460	6528	0.14	
yaaJ_talB	278	Divergent	7960	8237	0.17	
talB_mog	114	Codirectional+	9192	9305	0.20	
mog_satP	34	Convergent	9894	9927	0.21	
satP_yaaW	148	Codirectional-	10495	10642	0.23	
yaaW_yaaI	25	Codirectional-	11357	11381	0.24	
yaaI_dnaK	376	Divergent	11787	12162	0.25	
dnaK_dnaJ	88	Codirectional+	14080	14167	0.30	
dnaJ_insL1	146	Codirectional+	15299	15444	0.33	
insL1_hokC	193	Convergent	16558	16750	0.36	
hokC_sokC	48	Divergent	16904	16951	0.36	
sokC_nhaA	482	Codirectional+	17007	17488	0.37	
nhaA_nhaR	59	Codirectional+	18656	18714	0.40	
nhaR_insB1	190	Convergent	19621	19810	0.42	
insB1_rpsT	500	Codirectional-	20315	20814	0.44	
rpsT_yaaY	102	Divergent	21079	21180	0.45	
yaaY_ribF	7	Codirectional+	21400	21406	0.46	
ribF_ileS	42	Codirectional+	22349	22390	0.48	
ileS_fkpB	618	Codirectional+	25208	25825	0.54	
fkpB_ispH	1	Codirectional+	26276	26276	0.57	
ispH_rihC	65	Codirectional+	27228	27292	0.59	
rihC_dapB	166	Codirectional+	28208	28373	0.61	
dapB_carA	455	Codirectional+	29196	29650	0.63	
carA_carB	17	Codirectional+	30800	30816	0.66	
carB_caiF	261	Codirectional+	34039	34299	0.73	
caiF_caiE	85	Convergent	34696	34780	0.75	
caiE_caiD	5	Codirectional-	35372	35376	0.76	
caiD_caiC	108	Codirectional-	36163	36270	0.78	
caiC_caiB	73	Codirectional-	37825	37897	0.81	
caiB_caiA	128	Codirectional-	39116	39243	0.84	
caiA_caiT	30	Codirectional-	40387	40416	0.87	
caiT_fixA	471	Divergent	41932	42402	0.90	
fixA_fixB	14	Codirectional+	43174	43187	0.93	
fixB_fixC	50	Codirectional+	44130	44179	0.95	
fixC_yaaU	340	Codirectional+	45467	45806	0.98	
yaaU_kefF	107	Codirectional+	47139	47245	1.02	
kefF_folA	2046	Codirectional+	47777	49822	1.03	
folA_apaH	77	Convergent	50303	50379	1.08	
apaH_apaG	6	Codirectional-	51223	51228	1.10	
apaG_rsmA	2	Codirectional-	51607	51608	1.11	
rsmA_surA	985	Codirectional-	52431	53415	1.13	
surA_lptD	52	Codirectional-	54703	54754	1.18	
lptD_djlA	254	Divergent	57110	57363	1.23	
djlA_yabP'	294	Codirectional+	58180	58473	1.25	
yabP'_rluA	407	Convergent	59280	59686	1.28	
rluA_rapA	11	Codirectional-	60347	60357	1.30	
rapA_polB	164	Codirectional-	63265	63428	1.36	
polB_araD	74	Codirectional-	65781	65854	1.42	
araD_araA	284	Codirectional-	66551	66834	1.43	
araA_araB	10	Codirectional-	68338	68347	1.47	
araB_araC	338	Divergent	70049	70386	1.51	
araC_yabI	85	Codirectional+	71266	71350	1.54	
yabI_thiQ	113	Convergent	72116	72228	1.55	
thiQ_thiB	1569	Codirectional-	72928	74496	1.57	
thiB_sgrR	163	Codirectional-	75481	75643	1.63	
sgrR_sgrS	67	Divergent	77300	77366	1.67	
sgrS_setA	27	Codirectional+	77594	77620	1.67	
setA_leuD	48	Convergent	78800	78847	1.70	
leuD_leuC	10	Codirectional-	79454	79463	1.71	
leuC_leuB	2	Codirectional-	80865	80866	1.74	
leuB_leuL	1663	Codirectional-	81959	83621	1.77	
leuL_leuO	659	Divergent	83709	84367	1.80	
leuO_ilvI	317	Codirectional+	85313	85629	1.84	
ilvI_ilvH	2	Codirectional+	87355	87356	1.88	
ilvH_cra	179	Codirectional+	87849	88027	1.89	
cra_mraZ	601	Codirectional+	89033	89633	1.92	
mraZ_rsmH	1	Codirectional+	90093	90093	1.94	
rsmH_ftsI	377	Codirectional+	91036	91412	1.96	
ftsI_murF	1470	Codirectional+	93180	94649	2.01	
murF_murD	1078	Codirectional+	96009	97086	2.07	
murD_murG	1240	Codirectional+	98404	99643	2.12	
murG_murC	53	Codirectional+	100712	100764	2.17	
murC_ftsQ	914	Codirectional+	102241	103154	2.20	
ftsQ_ftsZ	1319	Codirectional+	103986	105304	2.24	
ftsZ_lpxC	100	Codirectional+	106457	106556	2.29	
lpxC_secM	230	Codirectional+	107475	107704	2.32	
secM_secA	61	Codirectional+	108218	108278	2.33	
secA_mutT	59	Codirectional+	110985	111043	2.39	
mutT_yacG	215	Convergent	111434	111648	2.40	
yacG_zapD	9	Codirectional-	111847	111855	2.41	
zapD_guaC	844	Divergent	112600	113443	2.43	
guaC_hofC	34	Convergent	114488	114521	2.47	
hofC_ppdD	1384	Codirectional-	115725	117108	2.49	
ppdD_nadC	202	Codirectional-	117550	117751	2.53	
nadC_ampD	87	Divergent	118646	118732	2.56	
ampD_aroP	893	Convergent	119285	120177	2.57	
aroP_pdhR	540	Divergent	121552	122091	2.62	
pdhR_aceE	160	Codirectional+	122857	123016	2.65	
aceE_aceF	14	Codirectional+	125681	125694	2.71	
aceF_lpd	324	Codirectional+	127588	127911	2.75	
lpd_yacH	70	Convergent	129337	129406	2.79	
yacH_acnB	354	Divergent	131261	131614	2.83	
acnB_yacL	175	Codirectional+	134213	134387	2.89	
yacL_speD	37	Convergent	134751	134787	2.90	
speD_speE	15	Codirectional-	135583	135597	2.92	
speE_yacC	105	Codirectional-	136465	136569	2.94	
yacC_cueO	165	Divergent	136918	137082	2.95	
cueO_gcd	201	Convergent	138634	138834	2.99	
gcd_hpt	205	Divergent	141226	141430	3.04	
hpt_can	40	Convergent	141968	142007	3.06	
can_yadG	108	Divergent	142671	142778	3.07	
yadG_yadI	871	Codirectional+	143706	144576	3.10	
yadI_yadE	63	Codirectional+	145018	145080	3.12	
yadE_panD	3	Convergent	146311	146313	3.15	
panD_yadD	273	Divergent	146695	146967	3.16	
yadD_panC	73	Convergent	147871	147943	3.19	
panC_panB	11	Codirectional-	148796	148806	3.21	
panB_yadC	113	Codirectional-	149602	149714	3.22	
yadC_yadK	49	Codirectional-	150954	151002	3.25	
yadK_yadL	26	Codirectional-	151600	151625	3.27	
yadL_yadM	11	Codirectional-	152232	152242	3.28	
yadM_htrE	16	Codirectional-	152813	152828	3.29	
htrE_yadV	34	Codirectional-	155427	155460	3.35	
yadV_yadN	97	Codirectional-	156202	156298	3.37	
yadN_folK	369	Codirectional-	156884	157252	3.38	
folK_gluQ	1453	Codirectional-	157733	159185	3.40	
gluQ_dksA	36	Codirectional-	160113	160148	3.45	
dksA_sfsA	177	Codirectional-	160605	160781	3.46	
sfsA_ligT	14	Codirectional-	161487	161500	3.48	
ligT_hrpB	73	Divergent	162032	162104	3.49	
hrpB_mrcB	195	Codirectional+	164535	164729	3.54	
mrcB_fhuA	219	Codirectional+	167265	167483	3.60	
fhuA_fhuC	50	Codirectional+	169728	169777	3.66	
fhuC_fhuB	886	Codirectional+	170576	171461	3.67	
fhuB_hemL	157	Convergent	173445	173601	3.74	
hemL_clcA	224	Divergent	174883	175106	3.77	
clcA_erpA	81	Codirectional+	176529	176609	3.80	
erpA_yadS	46	Convergent	176955	177000	3.81	
yadS_btuF	37	Codirectional-	177625	177661	3.83	
btuF_dgt	774	Divergent	178463	179236	3.84	
dgt_degP	129	Codirectional+	180755	180883	3.89	
degP_cdaR	154	Codirectional+	182309	182462	3.93	
cdaR_yaeH	88	Convergent	183621	183708	3.96	
yaeH_yaeI	161	Codirectional-	184096	184256	3.97	
yaeI_dapD	53	Codirectional-	185070	185122	3.99	
dapD_glnD	30	Codirectional-	185948	185977	4.01	
glnD_map	61	Codirectional-	188651	188711	4.06	
map_tff	205	Divergent	189507	189711	4.08	
tff_rpsB	26	Codirectional+	189848	189873	4.09	
rpsB_tsf	257	Codirectional+	190600	190856	4.11	
tsf_pyrH	146	Codirectional+	191709	191854	4.13	
pyrH_frr	291	Codirectional+	192581	192871	4.15	
frr_dxr	91	Codirectional+	193430	193520	4.17	
dxr_ispU	185	Codirectional+	194718	194902	4.20	
ispU_cdsA	12	Codirectional+	195665	195676	4.22	
cdsA_rseP	11	Codirectional+	196535	196545	4.23	
rseP_bamA	29	Codirectional+	197899	197927	4.26	
bamA_skp	121	Codirectional+	200361	200481	4.32	
skp_lpxD	3	Codirectional+	200968	200970	4.33	
lpxD_fabZ	104	Codirectional+	201997	202100	4.35	
fabZ_lpxA	3	Codirectional+	202557	202559	4.36	
lpxA_rnhB	1144	Codirectional+	203349	204492	4.38	
rnhB_dnaE	36	Codirectional+	205090	205125	4.42	
dnaE_accA	12	Codirectional+	208609	208620	4.49	
accA_ldcC	98	Codirectional+	209581	209678	4.52	
ldcC_yaeR	56	Codirectional+	211821	211876	4.56	
yaeR_tilS	64	Codirectional+	212267	212330	4.57	
tilS_rof	48	Convergent	213630	213677	4.60	
rof_yaeQ	358	Divergent	213933	214290	4.61	
yaeQ_nlpE	432	Codirectional+	214837	215268	4.63	
nlpE_yaeF	199	Convergent	215980	216178	4.65	
yaeF_proS	53	Codirectional-	217004	217056	4.68	
proS_tsaA	111	Codirectional-	218776	218886	4.71	
tsaA_metQ	518	Codirectional-	219595	220112	4.73	
metQ_metI	39	Codirectional-	220929	220967	4.76	
metI_gmhB	1211	Divergent	221622	222832	4.77	
gmhB_rrsH	362	Codirectional+	223409	223770	4.81	
rrsH_ileV	68	Codirectional+	225313	225380	4.85	
ileV_alaV	42	Codirectional+	225458	225499	4.86	
alaV_rrlH	183	Codirectional+	225576	225758	4.86	
rrlH_rrfH	93	Codirectional+	228663	228755	4.93	
rrfH_aspU	52	Codirectional+	228876	228927	4.93	
aspU_dkgB	162	Codirectional+	229005	229166	4.93	
dkgB_yafD	1151	Codirectional+	229971	231121	4.95	
yafD_yafE	3	Codirectional+	231923	231925	5.00	
yafE_mltD	47	Convergent	232550	232596	5.01	
mltD_gloB	71	Codirectional-	233956	234026	5.04	
gloB_yafS	33	Divergent	234783	234815	5.06	
yafS_dnaQ	528	Codirectional+	235539	236066	5.07	
dnaQ_aspV	132	Codirectional+	236799	236930	5.10	
aspV_yafT	327	Codirectional+	237008	237334	5.11	
yafT_ykfM	136	Convergent	238121	238256	5.13	
