Symbol,EcoCyc Locus,Coverage,Type,Position
abgA,EG13352,851,intergenic,1402601
yjbQ,EG11935,391,genic,4268010
cynT,EG10176,385,intergenic,357921
asnC,EG10093,315,intergenic,3925040
gadE,EG11544,226,genic,3656717
dppA,EG10248,221,intergenic,3706169
sdhC,EG10933,206,intergenic,753984
feaR,EG13422,200,intergenic,1445404
mntH,EG14157,162,intergenic,2510922
yobF,EG14382,151,intergenic,1905859
yaiY,EG14279,145,intergenic,398628
gltP,EG10405,139,intergenic,4292324
nanA,EG10637,134,intergenic,3371698
wcaF,EG13574,132,genic,2126911
csiD,EG13523,128,intergenic,2786903
sdiA,EG10935,109,intergenic,1994971
thrS,EG11001,100,genic,1800583
ybdK,EG13644,95,intergenic,606613
gltB,EG10403,94,intergenic,3352237
gcvT,EG11442,87,intergenic,3048847
yobA,EG14029,86,intergenic,1923027
kbl,EG10512,80,intergenic,3790737
wcaE,EG13573,75,genic,2128058
ydcS,EG13762,75,intergenic,1509484
nac,EG14265,75,genic,2059466
spf,EG30098,74,intergenic,4047837
glnD,EG11411,70,intergenic,188663
serA,EG10944,67,intergenic,3056505
yjbB,EG11919,66,intergenic,4225620
yifB,EG11260,66,genic,3947737
groS,EG10600,65,intergenic,4368508
yicJ,EG11686,65,intergenic,3834129
yjeH,EG12470,65,intergenic,4368508
yihO,EG11841,59,intergenic,4063804
ftnB,EG13175,58,intergenic,1984800
ybjQ,EG13686,55,intergenic,903693
ycgJ,EG13891,54,genic,1225851
ygiL,EG12363,52,intergenic,3183243
wzc,EG13568,51,genic,2133864
ydeP,EG13798,50,intergenic,1584563
ybhI,EG13665,46,genic,801131
pntA,EG10744,45,intergenic,1675942
yhcC,EG12809,44,intergenic,3352237
yafD,EG11650,43,intergenic,231046
ynfB,EG13840,43,intergenic,1653733
gltF,EG11514,42,genic,3359538
ilvL,EG11270,42,intergenic,3948282
hupA,EG10466,41,genic,4198309
dnaA,EG10235,41,intergenic,3882052
yjaH,EG11917,41,genic,4198309
yjcF,EG11941,40,genic,4281095
yegH,EG14051,39,intergenic,2135573
yihQ,EG11843,38,genic,4067149
napC,EG12060,38,intergenic,2296283
stfR,EG13370,37,intergenic,1426931
nusA,EG10665,36,genic,3315820
bglB,EG10114,36,genic,3901234
leuO,EG10531,36,intergenic,84123
yieH,EG11725,36,intergenic,3894738
leuL,EG11280,36,intergenic,84123
codB,EG11327,35,intergenic,354012
bglH,EG11364,34,intergenic,3900261
yecF,EG12861,34,intergenic,1993480
malY,EG10564,34,genic,1698988
wrbA,EG11540,32,intergenic,1067128
marR,EG11435,32,intergenic,1616976
ybaL,EG12623,31,intergenic,502656
cydA,EG10173,31,intergenic,770368
yjcC,EG11938,31,genic,4273802
ecnB,EG14345,29,intergenic,4374493
yedW,EG14045,29,intergenic,2036914
rfbC,EG11979,27,genic,2108210
rlmM,EG11794,27,genic,2939134
ppc,EG10756,26,intergenic,4151331
yieE,EG11722,26,genic,3891747
gltB,EG10403,26,genic,3352237
ydiY,EG13984,25,intergenic,1804386
yqeJ,EG13101,25,genic,2987333
pfkB,EG10700,25,intergenic,1804386
mltD,EG10246,24,genic,234233
macA,EG13694,24,intergenic,918441
ybbW,EG13618,24,genic,536893
tdcA,EG10989,24,intergenic,3265286
ybjX,EG13693,24,intergenic,918441
argO,EG11159,23,intergenic,3066922
msrA,EG11433,23,intergenic,4440265
ygiZ,EG13028,23,intergenic,3169893
ydcZ,EG13769,23,genic,1516834
yhfL,EG12907,23,genic,3497156
ybgE,EG12395,23,intergenic,773855
curA,EG13772,23,genic,1516834
ybgC,EG11110,23,intergenic,773855
ybeR,EG13648,23,intergenic,675817
cysQ,EG10043,22,intergenic,4434633
ygfI,EG12974,22,genic,3064889
yhjE,EG12249,22,genic,3672811
cpdB,EG10160,22,intergenic,4434633
yhcA,EG11515,22,intergenic,3359982
nrdG,EG12523,22,genic,4458283
yfdE,EG13284,22,genic,2487165
ansB,EG10046,21,intergenic,3098908
tfaR,EG13371,21,genic,1430484
yfbK,EG14095,21,intergenic,2383854
ynjF,EG14008,20,genic,1839536
iraP,EG11256,20,intergenic,400152
htrE,EG11972,20,genic,155771
nudG,EG14009,20,genic,1839536
ompF,EG10671,20,genic,986204
ddlA,EG10213,20,intergenic,400152
tfaQ,EG13825,20,genic,1632863
yedL,EG13279,19,genic,2008134
ydaU,EG13363,19,genic,1419179
yjgH,EG12527,19,intergenic,4470803
yqeH,EG13099,19,genic,2985944
ydcI,EG13752,19,genic,1492736
scpB,EG12972,19,genic,3062091
fucA,EG10348,19,genic,2931554
aroD,EG10076,18,genic,1772529
livK,EG10540,18,genic,3596075
yfjL,EG13198,18,genic,2762710
ydfR,EG13830,18,genic,1638095
ygaC,EG12201,18,intergenic,2798106
yhaB,EG11173,18,intergenic,3265837
mreC,EG10609,18,intergenic,3398015
allR,EG13616,18,intergenic,532179
